AA:BB:CC,Vendor A,Field
00:00:6E,Artisoft Inc.,Wireshark
00:00:6F,# Token-ring adapters,Wireshark
00:00:70,Hcl Limited,Wireshark
00:00:71,Adra Systems Inc.,Wireshark
00:00:72,Miniware Technology,Wireshark
00:00:73,Siecor Corporation,Wireshark
00:00:74,Ricoh Company Ltd.,Wireshark
00:00:75,Bell Northern Research (BNR),Wireshark
00:00:76,Abekas Video System,Wireshark
00:00:77,# [Used in other systems e.g. MIPS Motorola],Wireshark
00:00:78,Labtam Limited,Wireshark
00:00:79,# [bought by Compaq used in Netelligent series],Wireshark
00:00:7A,Dana Computer Inc.,Wireshark
00:00:7B,Research Machines,Wireshark
00:00:7C,Ampere Incorporated,Wireshark
00:00:7D,Oracle Corporation,Wireshark
00:00:7E,Clustrix Corporation,Wireshark
00:00:7F,# Linotronic typesetters,Wireshark
00:00:80,# [Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere],Wireshark
00:00:81,Bay Networks,Wireshark
00:00:82,Lectra Systemes Sa,Wireshark
00:00:83,Tadpole Technology [had Optical Data Systems which is wrong according to both],Wireshark
00:00:84,Supernet,Wireshark
00:00:85,Canon Inc.,Wireshark
00:00:86,Megahertz Corporation,Wireshark
00:00:87,Hitachi Ltd.,Wireshark
00:00:88,Brocade Communications Systems LLC,Wireshark
00:00:89,# Gatorbox,Wireshark
00:00:8A,Datahouse Information Systems,Wireshark
00:00:8B,Infotron,Wireshark
00:00:8C,Alloy Computer Products (Australia) Pty Ltd,Wireshark
00:00:8D,Cryptek Inc.,Wireshark
00:00:8E,Solbourne Computer Inc.,Wireshark
00:00:8F,Raytheon,Wireshark
00:00:90,Microcom,Wireshark
00:00:91,Anritsu Corporation,Wireshark
00:00:92,Cogent Data Technologies,Wireshark
00:00:93,Proteon Inc.,Wireshark
00:00:94,# MAC,Wireshark
00:00:95,Sony Tektronix Corp.,Wireshark
00:00:96,Marconi Electronics Ltd.,Wireshark
00:00:97,Dell EMC,Wireshark
00:00:98,Crosscomm Corporation,Wireshark
00:00:99,Mtx Inc.,Wireshark
00:00:9A,Rc Computer A/S,Wireshark
00:00:9B,Information International Inc,Wireshark
00:00:9C,Rolm Mil-Spec Computers,Wireshark
00:00:9D,Locus Computing Corporation,Wireshark
00:00:9E,Marli S.A.,Wireshark
00:00:9F,Ameristar Technologies Inc.,Wireshark
00:00:A0,SANYO Electric Co. Ltd.,Wireshark
00:00:A1,Marquette Electric Co.,Wireshark
00:00:A2,Bay Networks,Wireshark
00:00:A3,Network Application Technology,Wireshark
00:00:A4,Acorn Computers Limited,Wireshark
00:00:A5,Tattile SRL,Wireshark
00:00:A6,Network General (internal assignment not for products),Wireshark
00:00:A7,Network Computing Devices Inc.,Wireshark
00:00:A8,Stratus Technologies,Wireshark
00:00:A9,Network Systems Corp.,Wireshark
00:00:AA,# Xerox machines,Wireshark
00:00:AB,Logic Modeling Corporation,Wireshark
00:00:AC,# [had Apollo claimed incorrect],Wireshark
00:00:AD,Bruker Instruments Inc.,Wireshark
00:00:AE,Dassault Electronique,Wireshark
00:00:AF,Canberra Industries Inc.,Wireshark
00:00:B0,Rnd-Rad Network Devices,Wireshark
00:00:B1,Alpha Micro,Wireshark
00:00:B2,Televideo Systems Inc.,Wireshark
00:00:B3,Cimlinc Incorporated,Wireshark
00:00:B4,Edimax Technology Co. Ltd.,Wireshark
00:00:B5,# Terminal Servers,Wireshark
00:00:B6,Micro-Matic Research,Wireshark
00:00:B7,# Fastnet,Wireshark
00:00:B8,Seikosha Co. Ltd.,Wireshark
00:00:B9,Mcdonnell Douglas Computer Sys,Wireshark
00:00:BA,Siig Inc.,Wireshark
00:00:BB,# Netway products 3274 emulators,Wireshark
00:00:BC,Rockwell Automation,Wireshark
00:00:BD,RYOSEI Ltd.,Wireshark
00:00:BE,The Nti Group,Wireshark
00:00:BF,Symmetric Computer Systems,Wireshark
00:00:C0,Western Digital now SMC (Std. Microsystems Corp.),Wireshark
00:00:C1,Madge Ltd.,Wireshark
00:00:C2,Information Presentation Tech.,Wireshark
00:00:C3,Harris Corporation,Wireshark
00:00:C4,Waters Div. Of Millipore,Wireshark
E6:CB:AC,Cisco Meraki 200,Vendor
